Время (с),A0 (В),A2 (В)
251.27289414405823,2.529,2.314
251.2768976688385,2.510,2.510
251.28097414970398,2.510,2.569
251.28196334838867,2.451,2.510
251.2859752178192,2.490,2.804
251.2899763584137,2.490,2.824
251.2899763584137,2.490,2.765
251.2940309047699,2.490,2.765
251.29803109169006,2.490,2.980
251.3021171092987,2.490,2.706
251.3021171092987,2.490,2.588
251.30613255500793,2.529,2.588
251.3102104663849,2.549,2.431
251.31421661376953,2.569,2.294
251.31421661376953,2.549,2.294
251.31829929351807,2.569,2.333
251.32235169410706,2.588,2.157
251.32669019699097,2.608,2.196
251.32669019699097,2.627,2.235
251.33069968223572,2.647,2.255
251.33484148979187,2.627,2.216
251.33484148979187,2.627,2.392
251.3384621143341,2.608,2.412
251.34268021583557,2.588,2.353
251.34667801856995,2.549,2.333
251.34667801856995,2.510,2.412
251.35067868232727,2.490,2.412
251.35468935966492,2.412,2.451
251.35968112945557,2.353,2.647
251.35968112945557,2.314,2.529
251.36367845535278,2.255,2.490
251.36776494979858,2.275,2.588
251.3717737197876,2.216,2.588
251.3717737197876,2.216,2.608
251.37577652931213,2.157,2.745
251.37977695465088,2.118,2.843
251.37977695465088,2.098,2.706
251.38377690315247,2.098,2.725
251.38777613639832,2.059,2.706
251.39177680015564,2.059,2.569
251.39177680015564,2.059,2.549
251.395765542984,2.059,2.647
251.3997766971588,2.098,2.608
251.4043424129486,2.137,2.490
251.4043424129486,2.176,2.471
251.40836024284363,2.235,2.373
251.41236019134521,2.294,2.196
251.41709756851196,2.294,2.157
251.41709756851196,2.333,2.275
251.42062616348267,2.353,2.118
251.42464447021484,2.353,2.020
251.42464447021484,2.392,2.137
251.42865800857544,2.431,2.059
251.43301844596863,2.392,2.000
251.43701887130737,2.392,2.039
251.43701887130737,2.392,2.137
251.4410183429718,2.392,1.882
251.44501900672913,2.412,2.020
251.4490189552307,2.431,2.039
251.4490189552307,2.451,2.000
251.4530189037323,2.510,2.078
251.4580693244934,2.510,2.373
251.4580693244934,2.529,2.333
251.46201848983765,2.529,2.314
251.46602249145508,2.549,2.373
251.47001910209656,2.588,2.275
251.47001910209656,2.588,2.294
251.47403955459595,2.549,2.314
251.4780192375183,2.549,2.412
251.48211240768433,2.549,2.235
251.48211240768433,2.569,2.275
251.4861123561859,2.569,2.216
251.4901123046875,2.569,2.157
251.49411249160767,2.588,2.196
251.49511218070984,2.549,2.314
251.4982144832611,2.529,2.490
251.50220012664795,2.549,2.392
251.5032093524933,2.569,2.569
251.50622940063477,2.588,2.510
251.51129627227783,2.627,2.549
251.51541757583618,2.608,2.431
251.51541757583618,2.627,2.471
251.5194079875946,2.608,2.314
251.5230429172516,2.608,2.020
251.52703142166138,2.627,2.000
251.52703142166138,2.627,1.863
251.53121304512024,2.667,1.667
251.53521251678467,2.627,1.745
251.53921341896057,2.667,1.882
251.53921341896057,2.667,1.725
251.54322338104248,2.667,1.765
251.54734635353088,2.627,1.863
251.54734635353088,2.647,1.863
251.55147218704224,2.608,1.941
251.55547213554382,2.549,2.157
251.55955696105957,2.549,2.294
251.56054520606995,2.549,2.216
251.56354570388794,2.549,2.294
251.56863045692444,2.549,2.275
251.57264375686646,2.529,2.157
251.57264375686646,2.529,2.098
251.57663440704346,2.490,2.216
251.58064341545105,2.471,2.196
251.58464670181274,2.451,2.176
251.58464670181274,2.471,2.275
251.5887577533722,2.490,2.314
251.59274649620056,2.510,2.412
251.59274649620056,2.510,2.451
251.59675550460815,2.471,2.627
251.60075783729553,2.490,2.490
251.60475778579712,2.451,2.392
251.60475778579712,2.471,2.431
251.60882306098938,2.431,2.157
251.6128227710724,2.392,2.137
251.61682295799255,2.412,2.098
251.61791563034058,2.353,2.118
251.62142992019653,2.314,1.980
251.6254484653473,2.353,1.922
251.6296422481537,2.333,1.980
251.63070964813232,2.353,1.824
251.63366222381592,2.314,1.863
251.63766264915466,2.294,1.922
251.63766264915466,2.294,1.882
251.64166021347046,2.314,1.922
251.6457760334015,2.333,1.961
251.64977598190308,2.373,1.941
251.64977598190308,2.431,1.922
251.65441370010376,2.490,1.922
251.65841269493103,2.490,2.020
251.66249322891235,2.588,1.784
251.66249322891235,2.627,1.863
251.66648602485657,2.667,1.863
251.67056322097778,2.706,1.902
251.6745901107788,2.725,2.059
251.6745901107788,2.725,2.275
251.67886066436768,2.725,2.490
251.68285131454468,2.706,2.392
251.68285131454468,2.667,2.490
251.68686056137085,2.647,2.588
251.690851688385,2.627,2.549
251.69486093521118,2.608,2.549
251.69486093521118,2.569,2.784
251.69885182380676,2.549,2.745
251.70297074317932,2.510,2.706
251.7069935798645,2.510,2.922
251.7069935798645,2.471,2.902
251.71109175682068,2.431,2.922
